normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
435,COMPUSDT,233,2022-06-11 09:00:00 to 2022-06-13 09:00:00,-22.107613672324895,434
437,BAKEUSDT,127,2022-06-16 07:00:00 to 2022-06-18 07:00:00,6.728431342928634,436
439,ZENUSDT,187,2022-06-20 07:00:00 to 2022-06-22 07:00:00,0.0,438
440,GRTUSDT,179,2022-06-21 07:00:00 to 2022-06-23 07:00:00,1.3247543959160613,439
441,SXPUSDT,230,2022-06-23 09:00:00 to 2022-06-25 09:00:00,0.0,440
442,DOGEUSDT,234,2022-06-24 09:00:00 to 2022-06-26 09:00:00,0.0,441
443,GMTUSDT,31,2022-06-28 04:00:00 to 2022-06-30 04:00:00,-3.249992865234144,442
445,ADAUSDT,290,2022-07-01 08:00:00 to 2022-07-03 08:00:00,0.4486464646464628,444
447,SXPUSDT,234,2022-07-05 09:00:00 to 2022-07-07 09:00:00,1.4802377841651468,446
448,MKRUSDT,227,2022-07-07 07:00:00 to 2022-07-09 07:00:00,1.3035714814333186,447
449,YFIUSDT,222,2022-07-10 07:00:00 to 2022-07-12 07:00:00,-1.5307773799653297,448
451,ADAUSDT,294,2022-07-13 08:00:00 to 2022-07-15 08:00:00,1.2611260997067255,450
453,XLMUSDT,299,2022-07-17 08:00:00 to 2022-07-19 08:00:00,1.6072765896503916,452
455,PEOPLEUSDT,66,2022-07-22 04:00:00 to 2022-07-24 04:00:00,2.6434176503064006,454
457,ZENUSDT,199,2022-07-26 07:00:00 to 2022-07-28 07:00:00,0.7764555765179103,456
459,COMPUSDT,249,2022-07-29 09:00:00 to 2022-07-31 09:00:00,0.0,458
460,SFPUSDT,170,2022-07-31 07:00:00 to 2022-08-02 07:00:00,-0.4046747328597666,459
461,BAKEUSDT,143,2022-08-03 07:00:00 to 2022-08-05 07:00:00,3.5780572726199176,460
463,ZENUSDT,203,2022-08-07 07:00:00 to 2022-08-09 07:00:00,2.3761264933239543,462
