normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
441,ATAUSDT,55,2022-02-24 03:30:00 to 2022-02-26 03:30:00,3.0217077697696366,440
443,UNIUSDT,172,2022-02-28 07:00:00 to 2022-03-02 07:00:00,0.0,442
445,MASKUSDT,59,2022-03-04 03:30:00 to 2022-03-06 03:30:00,0.6056073962150549,444
447,ENJUSDT,171,2022-03-08 07:00:00 to 2022-03-10 07:00:00,0.0,446
449,UNIUSDT,176,2022-03-12 07:00:00 to 2022-03-14 07:00:00,2.2336860648822765,448
451,RUNEUSDT,182,2022-03-16 07:00:00 to 2022-03-18 07:00:00,-2.119508755180868,450
452,XRPUSDT,263,2022-03-17 08:15:00 to 2022-03-19 08:15:00,0.0,451
453,ZECUSDT,254,2022-03-20 08:00:00 to 2022-03-22 08:00:00,2.237161510629503,452
455,ARUSDT,55,2022-03-24 03:30:00 to 2022-03-26 03:30:00,1.516635614917177,454
456,AAVEUSDT,171,2022-03-25 07:00:00 to 2022-03-27 07:00:00,0.0,455
457,ZENUSDT,159,2022-03-28 07:00:00 to 2022-03-30 07:00:00,5.486320750745854,456
459,FLMUSDT,179,2022-04-01 07:00:00 to 2022-04-03 07:00:00,3.822518323004624,458
460,BANDUSDT,200,2022-04-02 07:00:00 to 2022-04-04 07:00:00,1.1575071412291982,459
461,TRBUSDT,189,2022-04-05 07:00:00 to 2022-04-07 07:00:00,-9.830500296340707,460
462,ZENUSDT,162,2022-04-06 07:00:00 to 2022-04-08 07:00:00,-3.618946499933864,461
463,ETHUSDT,284,2022-04-09 07:45:00 to 2022-04-11 07:45:00,0.0,462
464,ENJUSDT,182,2022-04-10 07:00:00 to 2022-04-12 07:00:00,-6.8148870658825755,463
465,TRXUSDT,269,2022-04-13 08:00:00 to 2022-04-15 08:00:00,0.0,464
467,ETCUSDT,270,2022-04-17 08:00:00 to 2022-04-19 08:00:00,0.1348193472860657,466
469,CRVUSDT,195,2022-04-21 07:00:00 to 2022-04-23 07:00:00,2.9792093023255624,468
471,GRTUSDT,160,2022-04-25 07:00:00 to 2022-04-27 07:00:00,-2.7288482568910513,470
473,XTZUSDT,267,2022-04-29 08:00:00 to 2022-05-01 08:00:00,-3.125246301492534,472
474,AAVEUSDT,183,2022-04-30 07:00:00 to 2022-05-02 07:00:00,3.790761941667715,473
